笔记名称,笔记链接,发布日期,观看量,评论数,点赞量,分享数,收藏数,直接涨粉数,标签,类别
替大家试过了！三个月就能上岸数据分析,https://www.xiaohongshu.com/explore/64f98a11000000001302cfa4,09/08/2023,630,0,3,0,0,0,#数据分析求职 #北美data求职 #数据分析转行 #数据分析 #数据分析我在行 #数据分析有窍门 #成功上岸 #北美求職 #北美data #Techlent转行数据科学,报名截止日期
正在直播!数据科学家该如何讲故事,https://www.xiaohongshu.com/explore/64fad74a0000000013036d8e,09/10/2023,568,0,1,1,0,1,#数据科学 #北美data求职 #mindset #求职指导 #北美求职 #data求职 #美国Data求职 #datascience #DS #Techlent转行数据科学,直播通知
正在直播！数据分析训练营在线答疑会,https://www.xiaohongshu.com/explore/64f99055000000001302b9ac,09/10/2023,494,0,1,1,1,0,#数据分析求职 #数据分析 #北美data求职 #数据分析我在行 #留学生求职 #北美求职 #北美转data #数据分析转行 #Techlent转行数据科学,直播通知
大语言模型（LLM）专项课程在线答疑会,https://www.xiaohongshu.com/explore/6500113a000000001302e68e,09/12/2023,628,0,0,2,2,0,#chatgpt #LLM #数据科学 #model #大语言模型 #AI #AI模型 #建模 #转行数据科学家 #Techlent转行数据科学,直播预告
克服面试焦虑！数据分析一对一模拟面试,https://www.xiaohongshu.com/explore/65017155000000001303f894,09/13/2023,708,0,3,0,3,1,#模拟面试 #数据分析 #数据分析求职 #数据分析面试 #数据分析面试题#mockinterview #dataanalyst #DA #数据分析我在行 #数据分析转行 #数据分析有窍门 #Techlent转行数据科学,课程宣传
原来讲故事能力才是求职和升职的最大障碍？,https://www.xiaohongshu.com/explore/65042323000000001303c988,09/13/2023,629,0,1,1,2,0,#北美data求职 #数据科学 #找工作 #应届生找工作 #留学生求职 #mindset #讲故事 #找工作玄学 #校招 #实习 #Techlent转行数据科学,干货分享
正在直播！大语言模型在线答疑会,https://www.xiaohongshu.com/explore/6502a03300000000150080c7,09/15/2023,533,0,0,1,0,0,#大语言模型 #chatgpt #LLM #北美data求职 #数据科学 #建模 #ai #AI #北美data求职,直播通知
本周六，和波士顿地区的数据科学家面对面！,https://www.xiaohongshu.com/explore/65096197000000001303690a,09/19/2023,1258,0,7,5,3,5,#波士顿大学 #波士顿留学 #波士顿生活 #北美求职 #塔夫茨大学 #波士顿学院 #留学美国 #美国华人 #博士 #硕士 #北美data求职 #Techlent转行数据科学 #数据分析,线下交流会
本周三，北美数据科学专项在线答疑会,https://www.xiaohongshu.com/explore/650aabd20000000016031110,09/20/2023,578,0,0,0,0,2,#数据科学 #北美求职 #美国求职 #北美data求职 #求职辅导 #美国求职辅导 #留学生求职 #Techlent转行数据科学,周三直播预告
正在直播！北美数据科学专项在线答疑会,https://www.xiaohongshu.com/explore/650ab21c0000000013028cdc,09/20/2023,594,0,2,0,0,4,#北美data求职 #数据科学 #北美求职 #求职辅导 #美国求职面试 #美国求职辅导 #留学生求职 #Techlent转行数据科学,直播通知
